state,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
illinois,"(885.583, 1.24)","(878.446, 0.44)","(858.613, 1.75)","(853.699, 29.64)","(853.411, 0.36)","(829.894, 0.43)","(810.705, 5.76)","(809.298, 0.37)","(787.142, 0.55)","(772.934, 0.73)","(762.362, -0.76)","(772.444, -0.54)","(786.877, 0.81)","(777.141, 0.38)","(756.579, 0.55)","(742.921, 0.34)","(720.914, 0.76)","(711.402, 1.13)","(705.129, 1.35)","(699.9, 0.3)","(676.563, 0.27)","(651.148, 0.27)","(626.995, 0)"
indiana,"(379.684, 0.81)","(375.002, 0.38)","(365.256, 0.51)","(358.087, 0.8)","(353.594, 2.31)","(352.063, 0.31)","(340.613, 0.54)","(334.343, 0.89)","(330.604, 1.12)","(327.642, 0.18)","(309.011, -0.19)","(325.227, -2.34)","(326.615, 0.4)","(318.428, 0.61)","(313.165, -5.55)","(313.729, 0.32)","(303.926, 0.31)","(294.248, 0.47)","(288.022, -0.66)","(292.398, 0.32)","(283.368, 0.34)","(274.977, 0.15)","(257.09, 0)"
iowa,"(194.658, 1.74)","(193.541, 0.52)","(189.854, -1.55)","(191.076, -1.28)","(192.566, 0.31)","(186.45, 0.23)","(178.272, 1.66)","(177.198, 0.23)","(169.456, 0.47)","(165.886, 0.39)","(161.678, -1.02)","(163.264, -0.5)","(166.517, 0.2)","(158.368, 1.16)","(157.0, 0.69)","(154.711, 0.13)","(142.812, 0.26)","(137.295, 0.37)","(133.628, -3.65)","(133.994, 0.27)","(129.061, 0.46)","(126.273, 0.84)","(124.761, 0)"
kansas,"(176.493, 1.03)","(174.784, 0.45)","(170.902, 0.94)","(169.088, 0.44)","(165.264, 0.42)","(161.341, 0.46)","(157.843, -8.49)","(158.029, 0.53)","(155.069, 0.28)","(149.479, 0.74)","(147.45, -0.31)","(152.2, 0.41)","(148.515, 0.18)","(140.395, 0.2)","(133.512, 0.36)","(129.789, 1.17)","(128.683, 0.5)","(126.113, 0.86)","(124.653, 0.99)","(123.398, 0.37)","(120.056, 0.38)","(116.891, 0.27)","(112.604, 0)"
kentucky,"(215.399, 0.56)","(211.56, 0.77)","(208.818, 2.44)","(207.961, 1.96)","(206.901, 0.42)","(201.937, 3.26)","(201.318, 0.6)","(197.949, 0.58)","(194.517, 0.98)","(192.523, 0.24)","(184.389, -0.46)","(188.379, 2.4)","(187.593, -2.19)","(188.449, 0.36)","(183.264, 0.33)","(177.694, 0.37)","(172.938, 0.47)","(169.281, 0.4)","(165.092, 1.6)","(164.058, -0.33)","(169.043, 0.29)","(163.136, 0.3)","(157.646, 0)"
louisiana,"(256.918, -3.06)","(257.757, 0.21)","(245.68, 0.29)","(237.236, -0.21)","(248.677, -0.28)","(257.505, 0.5)","(252.309, -0.26)","(262.118, -17.95)","(262.264, -1.37)","(264.174, 0.14)","(244.751, -0.21)","(256.344, 0.46)","(250.786, -0.43)","(256.634, 0.97)","(253.991, 0.09)","(224.896, 0.15)","(210.028, 0.13)","(193.314, -3.03)","(193.953, 0.62)","(190.817, 0.33)","(185.067, 0.33)","(179.453, 0.46)","(175.574, 0)"
maine,"(67.717, 0.34)","(65.709, 0.46)","(64.28, 0.78)","(63.452, 0.38)","(61.764, 0.48)","(60.474, 0.48)","(59.214, -4.32)","(59.351, 98.92)","(59.345, -0.55)","(60.418, 0.91)","(59.755, 2.43)","(59.509, -3.54)","(59.677, -9.04)","(59.743, 0.71)","(58.905, -10.52)","(58.961, 0.29)","(56.899, 0.46)","(55.661, 0.37)","(54.169, 0.45)","(52.972, 0.22)","(50.538, 0.2)","(47.957, 0.27)","(46.181, 0)"
maryland,"(426.747, 0.55)","(418.967, 1.8)","(416.642, 0.83)","(411.61, 0.3)","(397.847, 0.26)","(382.654, 0.57)","(375.897, 12.2)","(375.589, 6.16)","(374.979, 0.68)","(369.482, 0.3)","(357.329, 0.79)","(352.834, 1.0)","(349.3, 3.47)","(348.294, 0.53)","(341.678, 0.23)","(326.654, 0.21)","(311.044, 0.36)","(302.404, 0.23)","(289.234, 0.22)","(276.097, 0.25)","(264.884, 0.23)","(253.459, 0.19)","(240.276, 0)"
massachusetts,"(596.593, 0.37)","(580.648, 0.33)","(562.809, 0.49)","(551.273, 0.49)","(539.927, 0.2)","(512.43, 0.53)","(502.717, 1.35)","(498.993, 0.43)","(487.437, 0.59)","(479.13, 0.29)","(462.362, 18.35)","(462.11, 9.37)","(461.617, 0.43)","(450.797, 0.71)","(444.438, 0.72)","(438.224, 0.51)","(429.655, 0.5)","(421.056, 2.24)","(419.173, 1.56)","(416.48, 0.16)","(389.764, 0.22)","(371.67, 0.26)","(357.479, 0)"
michigan,"(536.888, 0.93)","(531.119, 0.67)","(523.141, 1.34)","(519.224, 0.45)","(507.705, 0.23)","(485.912, 0.66)","(478.557, 0.57)","(470.101, 0.42)","(458.897, 0.63)","(451.613, 0.23)","(431.969, -0.16)","(459.598, -0.15)","(490.056, -1.55)","(493.212, -0.38)","(506.151, 4.83)","(505.104, -2.44)","(507.177, 0.95)","(501.836, 0.44)","(490.542, -0.33)","(505.61, 0.56)","(496.622, 0.16)","(466.262, 0.33)","(451.945, 0)"
