state,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
georgia,"(36.425, 0)","(40.785, 11.97)","(46.154, 13.16)","(51.55, 11.69)","(56.229, 9.08)","(63.751, 13.38)","(68.451, 7.37)","(76.738, 12.11)","(88.466, 15.28)","(98.223, 11.03)","(108.089, 10.04)","(117.033, 8.27)","(126.565, 8.14)","(133.794, 5.71)","(140.646, 5.12)","(147.76, 5.06)","(160.062, 8.33)","(171.659, 7.25)","(187.996, 9.52)","(203.397, 8.19)","(219.989, 8.16)","(242.682, 10.32)","(265.322, 9.33)","(289.447, 9.09)","(306.02, 5.73)","(317.271, 3.68)","(326.67, 2.96)","(340.627, 4.27)","(364.229, 6.93)","(387.0, 6.25)","(402.501, 4.01)","(414.78, 3.05)","(411.852, -0.71)","(406.066, -1.4)","(414.664, 2.12)","(427.827, 3.17)","(443.566, 3.68)","(459.579, 3.61)","(485.283, 5.59)","(515.753, 6.28)","(541.292, 4.95)","(568.399, 5.01)","(602.024, 5.92)","(625.714, 3.94)"
idaho,"(6.591, 0)","(7.206, 9.33)","(8.45, 17.26)","(9.286, 9.89)","(9.916, 6.78)","(10.677, 7.67)","(10.689, 0.11)","(11.834, 10.71)","(12.586, 6.35)","(13.044, 3.64)","(13.22, 1.35)","(13.996, 5.87)","(15.285, 9.21)","(16.909, 10.62)","(18.004, 6.48)","(18.852, 4.71)","(20.632, 9.44)","(23.1, 11.96)","(25.455, 10.19)","(27.762, 9.06)","(28.915, 4.15)","(29.524, 2.11)","(31.099, 5.33)","(34.252, 10.14)","(38.131, 11.32)","(37.494, -1.67)","(38.82, 3.54)","(40.418, 4.12)","(43.866, 8.53)","(47.958, 9.33)","(50.986, 6.31)","(53.865, 5.65)","(55.584, 3.19)","(53.764, -3.27)","(55.215, 2.7)","(56.516, 2.36)","(57.78, 2.24)","(61.155, 5.84)","(63.799, 4.32)","(66.082, 3.58)","(69.076, 4.53)","(73.287, 6.1)","(79.091, 7.92)","(83.666, 5.78)"
illinois,"(104.819, 0)","(115.077, 9.79)","(128.122, 11.34)","(139.253, 8.69)","(145.264, 4.32)","(159.649, 9.9)","(164.267, 2.89)","(173.119, 5.39)","(194.244, 12.2)","(206.281, 6.2)","(218.696, 6.02)","(231.21, 5.72)","(252.197, 9.08)","(266.608, 5.71)","(279.019, 4.66)","(288.473, 3.39)","(306.236, 6.16)","(320.079, 4.52)","(347.971, 8.71)","(364.451, 4.74)","(383.504, 5.23)","(415.772, 8.41)","(436.649, 5.02)","(460.242, 5.4)","(486.766, 5.76)","(501.156, 2.96)","(513.612, 2.49)","(530.143, 3.22)","(561.037, 5.83)","(589.149, 5.01)","(623.471, 5.83)","(648.244, 3.97)","(648.732, 0.08)","(645.147, -0.55)","(661.715, 2.57)","(687.951, 3.96)","(720.882, 4.79)","(734.809, 1.93)","(766.121, 4.26)","(795.326, 3.81)","(803.944, 1.08)","(823.776, 2.47)","(863.04, 4.77)","(885.583, 2.61)"
indiana,"(43.775, 0)","(47.901, 9.43)","(53.729, 12.17)","(57.917, 7.79)","(58.87, 1.65)","(64.724, 9.94)","(64.982, 0.4)","(69.335, 6.7)","(78.859, 13.74)","(82.011, 4.0)","(86.437, 5.4)","(91.65, 6.03)","(99.492, 8.56)","(107.199, 7.75)","(110.86, 3.42)","(114.637, 3.41)","(124.714, 8.79)","(132.108, 5.93)","(143.335, 8.5)","(150.404, 4.93)","(158.35, 5.28)","(170.481, 7.66)","(184.395, 8.16)","(192.766, 4.54)","(203.357, 5.49)","(204.706, 0.66)","(212.439, 3.78)","(223.5, 5.21)","(236.921, 6.0)","(243.862, 2.93)","(255.463, 4.76)","(269.071, 5.33)","(273.14, 1.51)","(261.5, -4.26)","(280.497, 7.26)","(288.943, 3.01)","(297.816, 3.07)","(308.725, 3.66)","(325.008, 5.27)","(329.528, 1.39)","(337.217, 2.33)","(350.436, 3.92)","(368.425, 5.13)","(379.684, 3.06)"
iowa,"(24.436, 0)","(27.011, 10.54)","(30.763, 13.89)","(33.496, 8.88)","(34.582, 3.24)","(38.272, 10.67)","(37.289, -2.57)","(37.481, 0.51)","(41.264, 10.09)","(42.431, 2.83)","(43.226, 1.87)","(45.283, 4.76)","(49.088, 8.4)","(52.907, 7.78)","(56.121, 6.07)","(57.944, 3.25)","(61.87, 6.78)","(63.386, 2.45)","(70.161, 10.69)","(73.137, 4.24)","(78.819, 7.77)","(82.731, 4.96)","(84.677, 2.35)","(87.796, 3.68)","(93.19, 6.14)","(94.973, 1.91)","(99.123, 4.37)","(105.02, 5.95)","(116.834, 11.25)","(122.256, 4.64)","(127.053, 3.92)","(137.18, 7.97)","(137.116, -0.05)","(136.82, -0.22)","(142.017, 3.8)","(148.102, 4.28)","(157.839, 6.57)","(161.583, 2.37)","(172.122, 6.52)","(179.459, 4.26)","(179.94, 0.27)","(182.151, 1.23)","(190.147, 4.39)","(194.658, 2.37)"
kansas,"(18.953, 0)","(20.539, 8.37)","(22.824, 11.13)","(26.3, 15.23)","(28.298, 7.6)","(31.978, 13.0)","(33.491, 4.73)","(35.257, 5.27)","(38.442, 9.03)","(40.658, 5.76)","(41.795, 2.8)","(44.164, 5.67)","(46.698, 5.74)","(48.814, 4.53)","(51.874, 6.27)","(53.981, 4.06)","(56.902, 5.41)","(58.953, 3.6)","(63.304, 7.38)","(65.282, 3.12)","(69.616, 6.64)","(74.67, 7.26)","(78.385, 4.98)","(81.67, 4.19)","(85.821, 5.08)","(88.595, 3.23)","(91.05, 2.77)","(94.63, 3.93)","(98.014, 3.58)","(103.966, 6.07)","(112.634, 8.34)","(122.349, 8.63)","(127.825, 4.48)","(124.78, -2.38)","(127.97, 2.56)","(135.529, 5.91)","(140.764, 3.86)","(143.066, 1.64)","(148.943, 4.11)","(154.016, 3.41)","(159.233, 3.39)","(163.968, 2.97)","(171.719, 4.73)","(176.493, 2.78)"
kentucky,"(26.04, 0)","(29.176, 12.04)","(32.683, 12.02)","(35.838, 9.65)","(37.017, 3.29)","(41.068, 10.94)","(42.184, 2.72)","(44.092, 4.52)","(49.344, 11.91)","(51.893, 5.17)","(53.199, 2.52)","(56.282, 5.8)","(61.851, 9.89)","(65.525, 5.94)","(68.412, 4.41)","(71.679, 4.78)","(77.531, 8.16)","(81.618, 5.27)","(87.646, 7.39)","(91.915, 4.87)","(96.617, 5.12)","(104.538, 8.2)","(109.396, 4.65)","(114.994, 5.12)","(114.099, -0.78)","(117.336, 2.84)","(122.216, 4.16)","(127.174, 4.06)","(134.191, 5.52)","(142.708, 6.35)","(151.186, 5.94)","(154.542, 2.22)","(158.209, 2.37)","(156.039, -1.37)","(164.82, 5.63)","(170.005, 3.15)","(176.323, 3.72)","(182.471, 3.49)","(186.419, 2.16)","(192.819, 3.43)","(195.84, 1.57)","(200.346, 2.3)","(207.849, 3.75)","(215.399, 3.63)"
louisiana,"(34.413, 0)","(39.67, 15.28)","(45.212, 13.97)","(51.653, 14.25)","(63.925, 23.76)","(77.201, 20.77)","(78.067, 1.12)","(76.881, -1.52)","(82.623, 7.47)","(84.391, 2.14)","(77.107, -8.63)","(78.488, 1.79)","(83.196, 6.0)","(87.574, 5.26)","(95.177, 8.68)","(96.043, 0.91)","(90.89, -5.37)","(95.866, 5.47)","(105.119, 9.65)","(112.876, 7.38)","(118.807, 5.25)","(116.426, -2.0)","(120.338, 3.36)","(125.895, 4.62)","(132.71, 5.41)","(137.848, 3.87)","(139.567, 1.25)","(154.449, 10.66)","(169.836, 9.96)","(197.784, 16.46)","(205.888, 4.1)","(206.602, 0.35)","(215.289, 4.2)","(207.12, -3.79)","(226.162, 9.19)","(229.215, 1.35)","(233.481, 1.86)","(228.688, -2.05)","(237.717, 3.95)","(231.752, -2.51)","(223.41, -3.6)","(235.712, 5.51)","(253.236, 7.43)","(256.919, 1.45)"
maine,"(6.968, 0)","(7.647, 9.74)","(8.449, 10.49)","(9.335, 10.49)","(10.263, 9.94)","(11.255, 9.67)","(12.115, 7.64)","(13.239, 9.28)","(14.897, 12.52)","(16.046, 7.71)","(17.382, 8.33)","(19.166, 10.26)","(21.371, 11.5)","(22.67, 6.08)","(23.256, 2.58)","(23.379, 0.53)","(24.329, 4.06)","(25.202, 3.59)","(26.543, 5.32)","(28.153, 6.07)","(29.256, 3.92)","(30.624, 4.68)","(32.159, 5.01)","(34.379, 6.9)","(36.841, 7.16)","(38.499, 4.5)","(40.186, 4.38)","(41.842, 4.12)","(44.526, 6.41)","(45.87, 3.02)","(47.93, 4.49)","(49.163, 2.57)","(49.979, 1.66)","(50.568, 1.18)","(51.724, 2.29)","(51.867, 0.28)","(52.867, 1.93)","(53.671, 1.52)","(55.827, 4.02)","(57.56, 3.1)","(59.754, 3.81)","(61.672, 3.21)","(64.557, 4.68)","(67.717, 4.89)"
maryland,"(32.612, 0)","(35.555, 9.02)","(39.526, 11.17)","(43.628, 10.38)","(47.522, 8.93)","(53.117, 11.77)","(56.339, 6.07)","(62.205, 10.41)","(69.92, 12.4)","(76.878, 9.95)","(83.744, 8.93)","(91.38, 9.12)","(101.28, 10.83)","(107.444, 6.09)","(112.835, 5.02)","(115.428, 2.3)","(119.535, 3.56)","(125.515, 5.0)","(133.311, 6.21)","(139.07, 4.32)","(145.023, 4.28)","(159.331, 9.87)","(169.965, 6.67)","(180.191, 6.02)","(192.02, 6.56)","(205.567, 7.05)","(218.327, 6.21)","(228.734, 4.77)","(246.682, 7.85)","(266.065, 7.86)","(279.424, 5.02)","(287.76, 2.98)","(296.326, 2.98)","(302.389, 2.05)","(316.317, 4.61)","(327.727, 3.61)","(334.556, 2.08)","(340.706, 1.84)","(353.249, 3.68)","(370.768, 4.96)","(387.62, 4.55)","(399.738, 3.13)","(411.619, 2.97)","(426.747, 3.68)"
