state,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
massachusetts,"(45.498, 0)","(50.719, 11.48)","(56.883, 12.15)","(62.965, 10.69)","(69.684, 10.67)","(77.833, 11.69)","(83.777, 7.64)","(93.054, 11.07)","(106.425, 14.37)","(116.613, 9.57)","(127.155, 9.04)","(138.9, 9.24)","(151.625, 9.16)","(158.2, 4.34)","(159.505, 0.82)","(160.728, 0.77)","(167.435, 4.17)","(173.527, 3.64)","(185.71, 7.02)","(196.409, 5.76)","(210.63, 7.24)","(237.051, 12.54)","(249.236, 5.14)","(265.143, 6.38)","(289.653, 9.24)","(297.918, 2.85)","(303.99, 2.04)","(315.958, 3.94)","(330.937, 4.74)","(346.085, 4.58)","(361.657, 4.5)","(380.288, 5.15)","(388.1, 2.05)","(391.273, 0.82)","(410.188, 4.83)","(426.013, 3.86)","(444.478, 4.33)","(455.653, 2.51)","(473.052, 3.82)","(503.179, 6.37)","(519.144, 3.17)","(539.973, 4.01)","(570.464, 5.65)","(596.593, 4.58)"
michigan,"(78.77, 0)","(89.326, 13.4)","(99.335, 11.21)","(105.413, 6.12)","(104.134, -1.21)","(114.676, 10.12)","(115.166, 0.43)","(127.754, 10.93)","(143.678, 12.46)","(153.605, 6.91)","(163.458, 6.41)","(169.237, 3.54)","(180.621, 6.73)","(190.626, 5.54)","(193.103, 1.3)","(197.717, 2.39)","(212.057, 7.25)","(226.368, 6.75)","(251.484, 11.1)","(256.615, 2.04)","(270.32, 5.34)","(299.693, 10.87)","(312.668, 4.33)","(337.835, 8.05)","(351.641, 4.09)","(348.643, -0.85)","(362.311, 3.92)","(372.966, 2.94)","(381.443, 2.27)","(394.141, 3.33)","(395.685, 0.39)","(403.717, 2.03)","(385.99, -4.39)","(365.553, -5.29)","(386.63, 5.77)","(401.069, 3.73)","(418.742, 4.41)","(433.756, 3.59)","(448.572, 3.42)","(473.15, 5.48)","(488.963, 3.34)","(501.915, 2.65)","(521.803, 3.96)","(536.888, 2.89)"
minnesota,"(32.84, 0)","(36.83, 12.15)","(41.641, 13.06)","(46.861, 12.54)","(50.219, 7.17)","(55.404, 10.32)","(57.472, 3.73)","(61.95, 7.79)","(71.369, 15.2)","(75.832, 6.25)","(79.45, 4.77)","(85.365, 7.44)","(91.896, 7.65)","(98.313, 6.98)","(102.757, 4.52)","(106.102, 3.26)","(114.518, 7.93)","(117.947, 2.99)","(128.167, 8.66)","(135.124, 5.43)","(145.88, 7.96)","(156.283, 7.13)","(166.874, 6.78)","(175.156, 4.96)","(190.894, 8.99)","(195.282, 2.3)","(202.854, 3.88)","(214.847, 5.91)","(230.245, 7.17)","(243.07, 5.57)","(250.157, 2.92)","(259.296, 3.65)","(264.866, 2.15)","(260.513, -1.64)","(272.636, 4.65)","(285.408, 4.68)","(296.273, 3.81)","(308.785, 4.22)","(322.69, 4.5)","(333.066, 3.22)","(341.696, 2.59)","(353.416, 3.43)","(371.93, 5.24)","(383.777, 3.19)"
mississippi,"(14.552, 0)","(15.957, 9.66)","(17.758, 11.29)","(20.011, 12.69)","(21.353, 6.71)","(24.023, 12.5)","(24.614, 2.46)","(25.967, 5.5)","(28.744, 10.69)","(30.138, 4.85)","(30.996, 2.85)","(33.531, 8.18)","(35.534, 5.97)","(37.208, 4.71)","(38.757, 4.16)","(40.862, 5.43)","(44.012, 7.71)","(47.34, 7.56)","(51.602, 9.0)","(54.984, 6.55)","(57.46, 4.5)","(58.383, 1.61)","(60.962, 4.42)","(63.819, 4.69)","(65.6, 2.79)","(67.137, 2.34)","(69.043, 2.84)","(73.587, 6.58)","(77.298, 5.04)","(81.225, 5.08)","(86.065, 5.96)","(91.22, 5.99)","(96.921, 6.25)","(93.503, -3.53)","(95.265, 1.88)","(96.408, 1.2)","(99.616, 3.33)","(101.474, 1.87)","(103.52, 2.02)","(105.428, 1.84)","(106.493, 1.01)","(109.431, 2.76)","(113.579, 3.79)","(115.971, 2.11)"
missouri,"(37.211, 0)","(41.15, 10.59)","(46.176, 12.21)","(50.601, 9.58)","(52.42, 3.59)","(57.763, 10.19)","(60.699, 5.08)","(65.538, 7.97)","(74.539, 13.73)","(77.912, 4.53)","(83.33, 6.95)","(88.912, 6.7)","(95.76, 7.7)","(101.412, 5.9)","(103.566, 2.12)","(109.162, 5.4)","(115.288, 5.61)","(118.906, 3.14)","(130.567, 9.81)","(140.06, 7.27)","(148.257, 5.85)","(163.004, 9.95)","(169.505, 3.99)","(177.748, 4.86)","(186.785, 5.08)","(190.571, 2.03)","(196.765, 3.25)","(205.194, 4.28)","(215.413, 4.98)","(225.089, 4.49)","(232.906, 3.47)","(240.392, 3.21)","(251.692, 4.7)","(251.403, -0.11)","(257.897, 2.58)","(259.645, 0.68)","(268.862, 3.55)","(277.394, 3.17)","(284.237, 2.47)","(293.938, 3.41)","(297.753, 1.3)","(305.471, 2.59)","(317.949, 4.08)","(328.401, 3.29)"
montana,"(6.032, 0)","(6.35, 5.27)","(7.443, 17.21)","(8.173, 9.81)","(8.925, 9.2)","(10.201, 14.3)","(10.206, 0.05)","(10.584, 3.7)","(11.01, 4.02)","(10.941, -0.63)","(10.979, 0.35)","(11.383, 3.68)","(11.703, 2.81)","(12.63, 7.92)","(13.242, 4.85)","(13.875, 4.78)","(14.937, 7.65)","(16.054, 7.48)","(17.062, 6.28)","(17.519, 2.68)","(18.119, 3.42)","(19.323, 6.64)","(20.45, 5.83)","(20.821, 1.81)","(21.878, 5.08)","(22.793, 4.18)","(23.868, 4.72)","(25.647, 7.45)","(27.895, 8.77)","(30.528, 9.44)","(32.967, 7.99)","(36.091, 9.48)","(36.815, 2.01)","(36.032, -2.13)","(38.103, 5.75)","(40.616, 6.6)","(42.042, 3.51)","(43.137, 2.6)","(44.608, 3.41)","(46.269, 3.72)","(45.68, -1.27)","(47.947, 4.96)","(50.692, 5.73)","(52.935, 4.42)"
nebraska,"(13.042, 0)","(13.874, 6.38)","(15.851, 14.25)","(17.423, 9.92)","(18.294, 5.0)","(20.863, 14.04)","(21.265, 1.93)","(21.82, 2.61)","(24.631, 12.88)","(25.717, 4.41)","(26.045, 1.28)","(26.76, 2.75)","(29.262, 9.35)","(31.332, 7.07)","(33.734, 7.67)","(35.613, 5.57)","(38.214, 7.3)","(39.353, 2.98)","(43.504, 10.55)","(45.111, 3.69)","(49.007, 8.64)","(49.946, 1.92)","(51.917, 3.95)","(53.705, 3.44)","(56.541, 5.28)","(59.598, 5.41)","(61.622, 3.4)","(66.402, 7.76)","(70.32, 5.9)","(74.12, 5.4)","(78.283, 5.62)","(83.3, 6.41)","(85.661, 2.83)","(87.107, 1.69)","(91.786, 5.37)","(99.954, 8.9)","(102.605, 2.65)","(106.517, 3.81)","(111.387, 4.57)","(115.664, 3.84)","(116.879, 1.05)","(120.95, 3.48)","(124.705, 3.1)","(130.012, 4.26)"
nevada,"(6.263, 0)","(7.416, 18.41)","(8.932, 20.44)","(10.295, 15.26)","(11.633, 13.0)","(13.203, 13.5)","(13.885, 5.17)","(15.06, 8.46)","(16.514, 9.65)","(17.945, 8.67)","(19.731, 9.95)","(21.951, 11.25)","(24.987, 13.83)","(27.847, 11.45)","(30.98, 11.25)","(32.786, 5.83)","(36.052, 9.96)","(40.039, 11.06)","(45.173, 12.82)","(49.249, 9.02)","(54.419, 10.5)","(60.221, 10.66)","(65.105, 8.11)","(71.445, 9.74)","(76.654, 7.29)","(80.38, 4.86)","(84.786, 5.48)","(90.368, 6.58)","(103.446, 14.47)","(117.056, 13.16)","(127.008, 8.5)","(131.493, 3.53)","(129.096, -1.82)","(120.988, -6.28)","(123.652, 2.2)","(126.676, 2.45)","(127.789, 0.88)","(130.687, 2.27)","(134.518, 2.93)","(143.554, 6.72)","(150.287, 4.69)","(158.503, 5.47)","(169.18, 6.74)","(178.199, 5.33)"
new-hampshire,"(5.511, 0)","(6.298, 14.28)","(7.389, 17.32)","(8.351, 13.02)","(9.263, 10.92)","(10.48, 13.14)","(11.407, 8.85)","(12.629, 10.71)","(14.767, 16.93)","(16.578, 12.26)","(18.369, 10.8)","(20.994, 14.29)","(22.937, 9.26)","(23.777, 3.66)","(23.768, -0.04)","(24.763, 4.19)","(26.332, 6.34)","(27.362, 3.91)","(29.19, 6.68)","(31.876, 9.2)","(34.561, 8.42)","(38.212, 10.56)","(40.567, 6.16)","(41.873, 3.22)","(45.223, 8.0)","(46.626, 3.1)","(48.692, 4.43)","(51.378, 5.52)","(54.126, 5.35)","(56.347, 4.1)","(59.396, 5.41)","(60.711, 2.21)","(60.865, 0.25)","(61.909, 1.72)","(64.171, 3.65)","(65.45, 1.99)","(67.636, 3.34)","(69.496, 2.75)","(72.304, 4.04)","(75.832, 4.88)","(78.509, 3.53)","(80.838, 2.97)","(84.584, 4.63)","(87.634, 3.61)"
new-jersey,"(60.496, 0)","(65.839, 8.83)","(72.918, 10.75)","(81.051, 11.15)","(88.334, 8.99)","(98.755, 11.8)","(105.759, 7.09)","(117.962, 11.54)","(133.572, 13.23)","(145.929, 9.25)","(158.836, 8.84)","(174.629, 9.94)","(194.709, 11.5)","(205.075, 5.32)","(214.357, 4.53)","(221.915, 3.53)","(230.774, 3.99)","(240.389, 4.17)","(251.573, 4.65)","(263.468, 4.73)","(278.191, 5.59)","(307.689, 10.6)","(319.68, 3.9)","(336.471, 5.25)","(361.845, 7.54)","(373.6, 3.25)","(388.278, 3.93)","(404.967, 4.3)","(422.633, 4.36)","(440.494, 4.23)","(464.318, 5.41)","(480.445, 3.47)","(494.855, 3.0)","(486.21, -1.75)","(494.978, 1.8)","(498.959, 0.8)","(519.569, 4.13)","(537.346, 3.42)","(545.465, 1.51)","(569.117, 4.34)","(581.504, 2.18)","(590.697, 1.58)","(612.979, 3.77)","(634.784, 3.56)"
new-mexico,"(9.254, 0)","(10.102, 9.16)","(11.536, 14.2)","(13.141, 13.91)","(15.731, 19.71)","(18.511, 17.67)","(19.242, 3.95)","(19.882, 3.33)","(21.397, 7.62)","(22.534, 5.31)","(21.807, -3.23)","(22.429, 2.85)","(23.457, 4.58)","(24.927, 6.27)","(26.6, 6.71)","(30.295, 13.89)","(32.638, 7.73)","(36.876, 12.98)","(41.685, 13.04)","(42.146, 1.11)","(44.532, 5.66)","(52.503, 17.9)","(50.675, -3.48)","(53.082, 4.75)","(55.24, 4.07)","(55.97, 1.32)","(58.034, 3.69)","(62.865, 8.32)","(69.697, 10.87)","(73.662, 5.69)","(77.397, 5.07)","(80.543, 4.06)","(83.691, 3.91)","(81.99, -2.03)","(84.038, 2.5)","(86.683, 3.15)","(87.645, 1.11)","(88.533, 1.01)","(92.586, 4.58)","(91.322, -1.37)","(91.24, -0.09)","(94.457, 3.53)","(100.08, 5.95)","(105.143, 5.06)"
new-york,"(163.284, 0)","(179.89, 10.17)","(200.063, 11.21)","(217.725, 8.83)","(235.746, 8.28)","(261.84, 11.07)","(282.227, 7.79)","(305.288, 8.17)","(339.427, 11.18)","(364.281, 7.32)","(390.104, 7.09)","(418.306, 7.23)","(456.557, 9.14)","(473.252, 3.66)","(493.192, 4.21)","(497.336, 0.84)","(519.704, 4.5)","(537.504, 3.43)","(555.322, 3.31)","(582.656, 4.92)","(620.153, 6.44)","(718.804, 15.91)","(744.716, 3.6)","(792.569, 6.43)","(836.202, 5.51)","(873.781, 4.49)","(884.104, 1.18)","(902.544, 2.09)","(952.282, 5.51)","(1012.181, 6.29)","(1068.635, 5.58)","(1109.749, 3.85)","(1101.637, -0.73)","(1150.994, 4.48)","(1212.485, 5.34)","(1237.278, 2.04)","(1323.401, 6.96)","(1361.963, 2.91)","(1425.724, 4.68)","(1485.621, 4.2)","(1545.988, 4.06)","(1608.89, 4.07)","(1705.01, 5.97)","(1772.261, 3.94)"
north-carolina,"(40.454, 0)","(43.822, 8.33)","(49.867, 13.79)","(54.515, 9.32)","(58.791, 7.84)","(65.869, 12.04)","(68.971, 4.71)","(77.543, 12.43)","(88.151, 13.68)","(96.535, 9.51)","(104.785, 8.55)","(113.262, 8.09)","(124.303, 9.75)","(133.866, 7.69)","(139.658, 4.33)","(146.367, 4.8)","(159.337, 8.86)","(168.006, 5.44)","(181.288, 7.91)","(193.467, 6.72)","(203.815, 5.35)","(234.01, 14.81)","(246.929, 5.52)","(264.836, 7.25)","(277.994, 4.97)","(288.185, 3.67)","(297.907, 3.37)","(309.351, 3.84)","(327.276, 5.79)","(351.337, 7.35)","(382.799, 8.95)","(396.632, 3.61)","(413.065, 4.14)","(406.833, -1.51)","(415.71, 2.18)","(426.569, 2.61)","(439.54, 3.04)","(455.267, 3.58)","(476.26, 4.61)","(502.808, 5.57)","(520.357, 3.49)","(541.041, 3.97)","(567.452, 4.88)","(591.601, 4.26)"
north-dakota,"(5.052, 0)","(5.243, 3.78)","(6.417, 22.39)","(7.218, 12.48)","(7.645, 5.92)","(9.954, 30.2)","(9.954, 0.0)","(10.045, 0.91)","(10.642, 5.94)","(10.655, 0.12)","(9.773, -8.28)","(10.306, 5.45)","(9.748, -5.41)","(10.729, 10.06)","(11.509, 7.27)","(11.691, 1.58)","(12.896, 10.31)","(13.049, 1.19)","(14.304, 9.62)","(14.842, 3.76)","(16.491, 11.11)","(15.768, -4.38)","(16.826, 6.71)","(17.017, 1.14)","(18.014, 5.86)","(18.961, 5.26)","(20.229, 6.69)","(22.073, 9.12)","(23.152, 4.89)","(24.461, 5.65)","(26.209, 7.15)","(28.782, 9.82)","(31.852, 10.67)","(32.24, 1.22)","(35.689, 10.7)","(41.438, 16.11)","(51.625, 24.58)","(53.733, 4.08)","(58.68, 9.21)","(55.069, -6.15)","(50.792, -7.77)","(52.607, 3.57)","(56.287, 7.0)","(57.181, 1.59)"
ohio,"(87.419, 0)","(96.995, 10.95)","(107.554, 10.89)","(117.117, 8.89)","(121.228, 3.51)","(132.782, 9.53)","(134.636, 1.4)","(144.897, 7.62)","(163.854, 13.08)","(174.165, 6.29)","(182.644, 4.87)","(191.784, 5.0)","(205.308, 7.05)","(217.817, 6.09)","(227.413, 4.41)","(233.975, 2.89)","(250.65, 7.13)","(259.612, 3.58)","(281.925, 8.59)","(297.538, 5.54)","(311.12, 4.56)","(343.085, 10.27)","(361.512, 5.37)","(375.814, 3.96)","(391.321, 4.13)","(395.71, 1.12)","(411.148, 3.9)","(424.427, 3.23)","(445.41, 4.94)","(465.893, 4.6)","(477.201, 2.43)","(490.824, 2.85)","(491.609, 0.16)","(478.024, -2.76)","(496.458, 3.86)","(523.355, 5.42)","(540.882, 3.35)","(560.937, 3.71)","(592.876, 5.69)","(609.322, 2.77)","(621.543, 2.01)","(642.351, 3.35)","(675.03, 5.09)","(695.362, 3.01)"
oklahoma,"(20.822, 0)","(24.022, 15.37)","(27.105, 12.83)","(31.546, 16.38)","(37.608, 19.22)","(45.43, 20.8)","(49.317, 8.56)","(47.701, -3.28)","(51.291, 7.53)","(52.765, 2.87)","(48.997, -7.14)","(49.055, 0.12)","(52.667, 7.36)","(55.007, 4.44)","(57.805, 5.09)","(59.632, 3.16)","(62.209, 4.32)","(65.552, 5.37)","(68.251, 4.12)","(70.859, 3.82)","(76.316, 7.7)","(79.044, 3.57)","(81.208, 2.74)","(84.09, 3.55)","(90.893, 8.09)","(96.76, 6.45)","(99.151, 2.47)","(105.13, 6.03)","(112.872, 7.36)","(124.37, 10.19)","(136.95, 10.11)","(144.8, 5.73)","(159.761, 10.33)","(145.858, -8.7)","(153.215, 5.04)","(165.091, 7.75)","(173.239, 4.94)","(181.858, 4.98)","(193.546, 6.43)","(184.14, -4.86)","(177.813, -3.44)","(185.486, 4.32)","(198.596, 7.07)","(202.036, 1.73)"
oregon,"(19.758, 0)","(22.047, 11.59)","(25.391, 15.17)","(28.372, 11.74)","(30.001, 5.74)","(31.59, 5.3)","(31.594, 0.01)","(33.727, 6.75)","(37.444, 11.02)","(39.446, 5.35)","(41.73, 5.79)","(44.594, 6.86)","(49.138, 10.19)","(52.61, 7.07)","(56.566, 7.52)","(59.441, 5.08)","(63.392, 6.65)","(69.409, 9.49)","(75.393, 8.62)","(81.554, 8.17)","(93.306, 14.41)","(100.928, 8.17)","(105.143, 4.18)","(107.564, 2.3)","(117.291, 9.04)","(117.295, 0.0)","(121.201, 3.33)","(127.154, 4.91)","(136.304, 7.2)","(143.592, 5.35)","(155.166, 8.06)","(161.432, 4.04)","(165.051, 2.24)","(160.575, -2.71)","(163.827, 2.03)","(170.621, 4.15)","(174.428, 2.23)","(179.39, 2.84)","(188.778, 5.23)","(202.719, 7.38)","(214.618, 5.87)","(227.042, 5.79)","(241.978, 6.58)","(253.623, 4.81)"
pennsylvania,"(90.743, 0)","(99.024, 9.13)","(110.054, 11.14)","(120.527, 9.52)","(127.181, 5.52)","(138.573, 8.96)","(142.077, 2.53)","(152.042, 7.01)","(167.39, 10.09)","(176.873, 5.67)","(187.386, 5.94)","(202.91, 8.28)","(220.582, 8.71)","(233.162, 5.7)","(245.281, 5.2)","(255.163, 4.03)","(269.849, 5.76)","(281.704, 4.39)","(296.602, 5.29)","(312.989, 5.52)","(325.001, 3.84)","(356.72, 9.76)","(373.708, 4.76)","(390.499, 4.49)","(408.203, 4.53)","(424.773, 4.06)","(436.474, 2.75)","(454.517, 4.13)","(480.811, 5.79)","(504.871, 5.0)","(525.666, 4.12)","(559.143, 6.37)","(581.527, 4.0)","(576.964, -0.78)","(599.025, 3.82)","(618.555, 3.26)","(640.663, 3.57)","(663.335, 3.54)","(691.173, 4.2)","(711.787, 2.98)","(726.885, 2.12)","(745.141, 2.51)","(778.375, 4.46)","(808.738, 3.9)"
rhode-island,"(6.528, 0)","(7.245, 10.98)","(7.975, 10.08)","(8.845, 10.91)","(9.626, 8.83)","(10.729, 11.46)","(11.42, 6.44)","(12.323, 7.91)","(13.801, 11.99)","(15.222, 10.3)","(16.622, 9.2)","(17.891, 7.63)","(19.738, 10.32)","(21.059, 6.69)","(21.664, 2.87)","(21.738, 0.34)","(22.665, 4.26)","(23.566, 3.98)","(24.354, 3.34)","(25.55, 4.91)","(26.454, 3.54)","(28.923, 9.33)","(30.821, 6.56)","(32.284, 4.75)","(34.521, 6.93)","(35.982, 4.23)","(38.111, 5.92)","(40.25, 5.61)","(43.218, 7.37)","(45.133, 4.43)","(47.685, 5.65)","(47.76, 0.16)","(47.078, -1.43)","(47.907, 1.76)","(49.472, 3.27)","(50.17, 1.41)","(51.607, 2.86)","(52.798, 2.31)","(54.298, 2.84)","(56.561, 4.17)","(57.529, 1.71)","(58.117, 1.02)","(59.925, 3.11)","(61.884, 3.27)"
south-carolina,"(18.177, 0)","(20.103, 10.6)","(22.976, 14.29)","(25.507, 11.02)","(27.607, 8.23)","(31.048, 12.46)","(32.353, 4.2)","(35.85, 10.81)","(41.203, 14.93)","(43.988, 6.76)","(47.748, 8.55)","(52.688, 10.35)","(57.329, 8.81)","(61.347, 7.01)","(65.157, 6.21)","(68.0, 4.36)","(71.848, 5.66)","(76.158, 6.0)","(82.062, 7.75)","(87.248, 6.32)","(90.755, 4.02)","(97.423, 7.35)","(103.467, 6.2)","(110.096, 6.41)","(115.177, 4.62)","(119.29, 3.57)","(124.178, 4.1)","(130.314, 4.94)","(135.143, 3.71)","(142.615, 5.53)","(150.661, 5.64)","(159.101, 5.6)","(161.798, 1.7)","(159.911, -1.17)","(163.844, 2.46)","(170.078, 3.8)","(175.329, 3.09)","(182.837, 4.28)","(191.982, 5.0)","(204.0, 6.26)","(213.585, 4.7)","(223.414, 4.6)","(235.287, 5.31)","(247.544, 5.21)"
south-dakota,"(4.645, 0)","(5.116, 10.14)","(5.971, 16.71)","(6.716, 12.48)","(6.76, 0.66)","(7.661, 13.33)","(7.709, 0.63)","(8.123, 5.37)","(9.194, 13.18)","(9.588, 4.29)","(10.067, 5.0)","(10.669, 5.98)","(11.173, 4.72)","(11.79, 5.52)","(12.77, 8.31)","(13.736, 7.56)","(14.886, 8.37)","(16.105, 8.19)","(17.33, 7.61)","(18.054, 4.18)","(19.419, 7.56)","(19.036, -1.97)","(20.217, 6.2)","(21.046, 4.1)","(22.669, 7.71)","(23.406, 3.25)","(26.165, 11.79)","(27.197, 3.94)","(29.031, 6.74)","(30.535, 5.18)","(31.824, 4.22)","(34.816, 9.4)","(36.476, 4.77)","(36.342, -0.37)","(37.709, 3.76)","(41.69, 10.56)","(43.551, 4.46)","(44.957, 3.23)","(46.37, 3.14)","(47.631, 2.72)","(48.731, 2.31)","(50.343, 3.31)","(53.239, 5.75)","(54.941, 3.2)"
tennessee,"(30.549, 0)","(33.598, 9.98)","(38.182, 13.64)","(42.194, 10.51)","(44.972, 6.58)","(50.265, 11.77)","(52.045, 3.54)","(57.073, 9.66)","(63.983, 12.11)","(68.426, 6.94)","(73.288, 7.11)","(80.715, 10.13)","(87.356, 8.23)","(91.579, 4.83)","(94.087, 2.74)","(101.208, 7.57)","(111.66, 10.33)","(119.568, 7.08)","(129.895, 8.64)","(137.061, 5.52)","(143.163, 4.45)","(154.367, 7.83)","(167.44, 8.47)","(176.083, 5.16)","(182.089, 3.41)","(185.855, 2.07)","(195.332, 5.1)","(203.328, 4.09)","(217.939, 7.19)","(228.126, 4.67)","(240.111, 5.25)","(244.194, 1.7)","(251.55, 3.01)","(250.379, -0.47)","(255.696, 2.12)","(267.488, 4.61)","(283.482, 5.98)","(293.265, 3.45)","(303.789, 3.59)","(323.659, 6.54)","(334.436, 3.33)","(346.283, 3.54)","(362.737, 4.75)","(376.582, 3.82)"
texas,"(113.757, 0)","(130.404, 14.63)","(149.091, 14.33)","(171.608, 15.1)","(203.073, 18.34)","(245.235, 20.76)","(260.085, 6.06)","(264.883, 1.84)","(288.637, 8.97)","(307.224, 6.44)","(295.721, -3.74)","(300.667, 1.67)","(327.354, 8.88)","(349.952, 6.9)","(378.943, 8.28)","(393.574, 3.86)","(416.401, 5.8)","(443.775, 6.57)","(475.99, 7.26)","(507.725, 6.67)","(551.513, 8.62)","(610.141, 10.63)","(645.29, 5.76)","(680.182, 5.41)","(738.804, 8.62)","(772.909, 4.62)","(787.72, 1.92)","(829.723, 5.33)","(907.476, 9.37)","(986.203, 8.68)","(1084.172, 9.93)","(1178.221, 8.67)","(1236.362, 4.93)","(1162.972, -5.94)","(1237.304, 6.39)","(1331.138, 7.58)","(1410.448, 5.96)","(1500.554, 6.39)","(1568.071, 4.5)","(1564.374, -0.24)","(1567.687, 0.21)","(1665.428, 6.23)","(1795.635, 7.82)","(1843.803, 2.68)"
utah,"(9.3, 0)","(10.381, 11.62)","(11.998, 15.58)","(13.709, 14.26)","(15.311, 11.69)","(17.32, 13.12)","(18.365, 6.03)","(19.752, 7.55)","(22.147, 12.13)","(24.083, 8.74)","(24.282, 0.83)","(25.1, 3.37)","(27.325, 8.86)","(28.668, 4.91)","(31.249, 9.0)","(33.501, 7.21)","(35.602, 6.27)","(38.631, 8.51)","(42.591, 10.25)","(46.746, 9.76)","(52.016, 11.27)","(57.686, 10.9)","(62.289, 7.98)","(66.039, 6.02)","(70.384, 6.58)","(73.392, 4.27)","(76.159, 3.77)","(79.138, 3.91)","(85.783, 8.4)","(94.303, 9.93)","(106.028, 12.43)","(114.657, 8.14)","(115.885, 1.07)","(113.518, -2.04)","(118.098, 4.03)","(124.69, 5.58)","(128.764, 3.27)","(134.53, 4.48)","(141.528, 5.2)","(148.918, 5.22)","(157.443, 5.72)","(167.613, 6.46)","(181.623, 8.36)","(192.519, 6.0)"
vermont,"(3.222, 0)","(3.347, 3.88)","(3.942, 17.78)","(4.399, 11.59)","(4.856, 10.39)","(5.436, 11.94)","(5.755, 5.87)","(6.269, 8.93)","(6.895, 9.99)","(7.524, 9.12)","(8.169, 8.57)","(9.157, 12.09)","(10.259, 12.03)","(11.12, 8.39)","(11.674, 4.98)","(11.733, 0.51)","(12.538, 6.86)","(13.027, 3.9)","(13.689, 5.08)","(13.891, 1.48)","(14.672, 5.62)","(15.452, 5.32)","(16.08, 4.06)","(17.162, 6.73)","(18.313, 6.71)","(19.272, 5.24)","(20.162, 4.62)","(21.124, 4.77)","(22.658, 7.26)","(23.501, 3.72)","(24.305, 3.42)","(24.689, 1.58)","(25.668, 3.97)","(25.871, 0.79)","(27.113, 4.8)","(28.135, 3.77)","(28.894, 2.7)","(28.966, 0.25)","(29.691, 2.5)","(30.664, 3.28)","(31.43, 2.5)","(32.041, 1.94)","(32.981, 2.93)","(34.013, 3.13)"
virginia,"(39.574, 0)","(43.219, 9.21)","(48.379, 11.94)","(53.398, 10.37)","(58.669, 9.87)","(66.179, 12.8)","(71.465, 7.99)","(79.439, 11.16)","(89.768, 13.0)","(97.967, 9.13)","(107.348, 9.58)","(117.603, 9.55)","(128.088, 8.92)","(137.661, 7.47)","(144.971, 5.31)","(151.093, 4.22)","(158.99, 5.23)","(167.688, 5.47)","(177.057, 5.59)","(186.236, 5.18)","(197.756, 6.19)","(215.126, 8.78)","(231.505, 7.61)","(249.106, 7.6)","(267.618, 7.43)","(284.397, 6.27)","(293.399, 3.17)","(310.133, 5.7)","(332.669, 7.27)","(360.842, 8.47)","(378.981, 5.03)","(392.929, 3.68)","(400.306, 1.88)","(409.442, 2.28)","(423.564, 3.45)","(433.01, 2.23)","(445.121, 2.8)","(455.167, 2.26)","(464.514, 2.05)","(484.531, 4.31)","(496.57, 2.48)","(511.876, 3.08)","(533.51, 4.23)","(556.905, 4.39)"
washington,"(32.735, 0)","(36.826, 12.5)","(42.668, 15.86)","(48.713, 14.17)","(52.682, 8.15)","(58.918, 11.84)","(62.933, 6.81)","(67.949, 7.97)","(74.17, 9.16)","(77.341, 4.28)","(84.015, 8.63)","(90.325, 7.51)","(99.051, 9.66)","(108.064, 9.1)","(118.64, 9.79)","(125.895, 6.12)","(134.469, 6.81)","(142.5, 5.97)","(150.805, 5.83)","(155.069, 2.83)","(166.54, 7.4)","(193.77, 16.35)","(209.71, 8.23)","(230.237, 9.79)","(238.137, 3.43)","(239.763, 0.68)","(248.153, 3.5)","(257.83, 3.9)","(269.983, 4.71)","(295.859, 9.58)","(317.314, 7.25)","(346.491, 9.19)","(355.597, 2.63)","(353.706, -0.53)","(365.8, 3.42)","(379.796, 3.83)","(400.623, 5.48)","(419.671, 4.75)","(442.93, 5.54)","(471.703, 6.5)","(493.635, 4.65)","(527.708, 6.9)","(575.417, 9.04)","(612.997, 6.53)"
west-virginia,"(13.249, 0)","(14.439, 8.98)","(15.957, 10.51)","(17.424, 9.19)","(18.408, 5.65)","(19.837, 7.76)","(20.511, 3.4)","(20.403, -0.53)","(22.172, 8.67)","(22.936, 3.45)","(22.88, -0.24)","(23.425, 2.38)","(25.876, 10.46)","(26.663, 3.04)","(27.754, 4.09)","(29.092, 4.82)","(30.41, 4.53)","(31.881, 4.84)","(34.592, 8.5)","(36.149, 4.5)","(37.224, 2.97)","(38.808, 4.26)","(40.054, 3.21)","(41.796, 4.35)","(42.577, 1.87)","(43.983, 3.3)","(45.434, 3.3)","(46.748, 2.89)","(49.281, 5.42)","(53.293, 8.14)","(56.578, 6.16)","(58.629, 3.63)","(61.994, 5.74)","(63.033, 1.68)","(65.305, 3.6)","(68.447, 4.81)","(69.336, 1.3)","(70.999, 2.4)","(71.769, 1.08)","(70.816, -1.33)","(70.006, -1.14)","(72.853, 4.07)","(77.633, 6.56)","(78.864, 1.59)"
