year,state,state_abbr,dem_vote,rep_vote,total_vote,dem_percent,rep_percent
1980,south-carolina,sc,428220,439277,867497,0.4936,0.5064
1980,south-dakota,sd,103855,198343,302198,0.3437,0.6563
1980,tennessee,tn,783051,787761,1570812,0.4985,0.5015
1980,texas,tx,1881147,2510705,4391852,0.4283,0.5717
1980,utah,ut,124266,439687,563953,0.2203,0.7797
1980,vermont,vt,81952,94628,176580,0.4641,0.5359
1980,virginia,va,752174,989609,1741783,0.4318,0.5682
1980,washington,wa,650193,865244,1515437,0.429,0.571
1980,west-virginia,wv,367462,334206,701668,0.5237,0.4763
1980,wisconsin,wi,981584,1088845,2070429,0.4741,0.5259
1980,wyoming,wy,49427,110700,160127,0.3087,0.6913
1984,alabama,al,551899,872849,1424748,0.3874,0.6126
1984,alaska,ak,62007,138377,200384,0.3094,0.6906
1984,arizona,az,333854,681416,1015270,0.3288,0.6712
1984,arkansas,ar,338646,534774,873420,0.3877,0.6123
1984,california,ca,3922519,5467009,9389528,0.4178,0.5822
1984,colorado,co,454975,821817,1276792,0.3563,0.6437
1984,connecticut,ct,569597,890877,1460474,0.39,0.61
1984,delaware,de,101656,152190,253846,0.4005,0.5995
1984,district-of-columbia,dc,180408,29009,209417,0.8615,0.1385
1984,florida,fl,1448816,2730350,4179166,0.3467,0.6533
1984,georgia,ga,706628,1068722,1775350,0.398,0.602
1984,hawaii,hi,147154,185050,332204,0.443,0.557
1984,idaho,id,108510,297523,406033,0.2672,0.7328
1984,illinois,il,2086499,2707103,4793602,0.4353,0.5647
1984,indiana,in,841481,1377230,2218711,0.3793,0.6207
1984,iowa,ia,605620,703088,1308708,0.4628,0.5372
1984,kansas,ks,333149,677296,1010445,0.3297,0.6703
1984,kentucky,ky,539539,821702,1361241,0.3964,0.6036
1984,louisiana,la,651586,1037299,1688885,0.3858,0.6142
1984,maine,me,214515,336500,551015,0.3893,0.6107
1984,maryland,md,787935,879918,1667853,0.4724,0.5276
1984,massachusetts,ma,1239606,1310936,2550542,0.486,0.514
1984,michigan,mi,1529638,2251571,3781209,0.4045,0.5955
1984,minnesota,mn,1036364,1032603,2068967,0.5009,0.4991
1984,mississippi,ms,352192,582377,934569,0.3768,0.6232
1984,missouri,mo,848583,1274188,2122771,0.3998,0.6002
1984,montana,mt,146742,232450,379192,0.387,0.613
1984,nebraska,ne,187866,460054,647920,0.29,0.71
1984,nevada,nv,91655,188770,280425,0.3268,0.6732
1984,new-hampshire,nh,120347,267050,387397,0.3107,0.6893
1984,new-jersey,nj,1261323,1933630,3194953,0.3948,0.6052
1984,new-mexico,nm,201769,307101,508870,0.3965,0.6035
1984,new-york,ny,3001285,3376519,6377804,0.4706,0.5294
1984,north-carolina,nc,824287,1346481,2170768,0.3797,0.6203
1984,north-dakota,nd,104429,200336,304765,0.3427,0.6573
1984,ohio,oh,1825440,2678559,4503999,0.4053,0.5947
1984,oklahoma,ok,385080,861530,1246610,0.3089,0.6911
1984,oregon,or,536479,685700,1222179,0.439,0.561
1984,pennsylvania,pa,2228131,2584323,4812454,0.463,0.537
1984,rhode-island,ri,197106,212080,409186,0.4817,0.5183
1984,south-carolina,sc,344459,615539,959998,0.3588,0.6412
1984,south-dakota,sd,116113,200267,316380,0.367,0.633
1984,tennessee,tn,711714,990212,1701926,0.4182,0.5818
1984,texas,tx,1949276,3433428,5382704,0.3621,0.6379
1984,utah,ut,155369,469105,624474,0.2488,0.7512
1984,vermont,vt,95730,135865,231595,0.4134,0.5866
1984,virginia,va,796250,1337078,2133328,0.3732,0.6268
1984,washington,wa,798352,1051670,1850022,0.4315,0.5685
1984,west-virginia,wv,328125,405483,733608,0.4473,0.5527
1984,wisconsin,wi,995740,1198584,2194324,0.4538,0.5462
1984,wyoming,wy,53370,133241,186611,0.286,0.714
1988,alabama,al,549506,815576,1365082,0.4025,0.5975
1988,alaska,ak,72584,119251,191835,0.3784,0.6216
1988,arizona,az,454029,702541,1156570,0.3926,0.6074
1988,arkansas,ar,349237,466578,815815,0.4281,0.5719
1988,california,ca,4702233,5054917,9757150,0.4819,0.5181
1988,colorado,co,621453,728177,1349630,0.4605,0.5395
1988,connecticut,ct,676584,750241,1426825,0.4742,0.5258
1988,delaware,de,108647,139639,248286,0.4376,0.5624
1988,district-of-columbia,dc,159407,27590,186997,0.8525,0.1475
1988,florida,fl,1656701,2618885,4275586,0.3875,0.6125
1988,georgia,ga,714792,1081331,1796123,0.398,0.602
1988,hawaii,hi,192364,158625,350989,0.5481,0.4519
1988,idaho,id,147272,253881,401153,0.3671,0.6329
1988,illinois,il,2215940,2310939,4526879,0.4895,0.5105
1988,indiana,in,860643,1297763,2158406,0.3987,0.6013
1988,iowa,ia,670557,545355,1215912,0.5515,0.4485
1988,kansas,ks,422636,554049,976685,0.4327,0.5673
1988,kentucky,ky,580368,734281,1314649,0.4415,0.5585
1988,louisiana,la,717460,883702,1601162,0.4481,0.5519
1988,maine,me,243569,307131,550700,0.4423,0.5577
1988,maryland,md,826304,876167,1702471,0.4854,0.5146
1988,massachusetts,ma,1401415,1194635,2596050,0.5398,0.4602
1988,michigan,mi,1675783,1965486,3641269,0.4602,0.5398
1988,minnesota,mn,1109471,962337,2071808,0.5355,0.4645
1988,mississippi,ms,363921,557890,921811,0.3948,0.6052
1988,missouri,mo,1001619,1084953,2086572,0.48,0.52
1988,montana,mt,168936,190412,359348,0.4701,0.5299
1988,nebraska,ne,259235,397956,657191,0.3945,0.6055
1988,nevada,nv,132738,206040,338778,0.3918,0.6082
1988,new-hampshire,nh,163696,281537,445233,0.3677,0.6323
1988,new-jersey,nj,1320352,1743192,3063544,0.431,0.569
1988,new-mexico,nm,244497,270341,514838,0.4749,0.5251
1988,new-york,ny,3255487,2838414,6093901,0.5342,0.4658
1988,north-carolina,nc,890167,1237258,2127425,0.4184,0.5816
1988,north-dakota,nd,127739,166559,294298,0.434,0.566
1988,ohio,oh,1939629,2416549,4356178,0.4453,0.5547
